"names" "transcripts" "pool_ratio" "weighted_length"
"337" "YOL109W" 0.566 23.3209021488
"338" "YKL160W" 0.566 26.4736638265
"339" "YBL034C" 0.566 27.7931474782
"340" "YBR216C" 0.566 29.1513132105
"341" "YBL105C" 0.567 27.3116508851
"342" "YDL101C" 0.567 28.6128759
"343" "YPR171W" 0.568 25.5798252581
"344" "YGR140W" 0.568 26.9509281382
"345" "YFL061W" 0.569 28.5124201561
"346" "YPL190C" 0.571 24.4007115855
"347" "YDL009C" 0.571 24.6563634235
"348" "YOL099C" 0.571 27.9966841669
"349" "Q0255" 0.571 29.1562064156
"350" "YKL032C" 0.571 29.6226077625
"351" "YOR008C" 0.571 31.2804293655
"352" "YAL035C-A" 0.572 29.8633179566
"353" "YPL174C" 0.573 26.2621263116
"354" "YAL037W" 0.573 29.2158760891
"355" "YHR203C" 0.573 30.1026988297
"356" "YEL055C" 0.574 25.5334538879
"357" "YHR068W" 0.574 26.4069529652
"358" "YHR056C" 0.574 27.6454772422
"359" "YBR150C-R" 0.575 25.3600593912
"360" "YOR027W" 0.575 27.7159647405
"361" "YDR258C" 0.576 24.693755004
"362" "YOR343C-A" 0.576 25.0890529974
"363" "YCL041C" 0.576 28.1949458484
"364" "YOL006C" 0.577 22.2361328465
"365" "YDR332W" 0.577 31.7196596507
"366" "YOR004W" 0.578 26.3834526651
"367" "YOL146W" 0.578 27.6381445204
"368" "YKR039W" 0.578 30.1014816318
"369" "YDR062W" 0.579 26.0831552361
"370" "YBR066C" 0.579 27.3599348534
"371" "YKL212W" 0.58 26.5089237426
"372" "YDL199C" 0.58 27.5654718361
"373" "YBR095C" 0.581 25.7561613144
"374" "YDR312W" 0.581 26.9273528848
"375" "YLR045C" 0.582 26.4511162433
"376" "YGR125W" 0.582 28.4437033508
"377" "YDR241W" 0.582 29.5333333333
"378" "YDL015C" 0.582 29.8189563365
"379" "YBL046W" 0.583 28.9371980676
"380" "YLL017W" 0.583 29.101189602
"381" "YAL034C" 0.583 32.3856452213
"382" "YGL066W" 0.584 26.3344429215
"383" "YHR066W" 0.584 27.2653061224
"384" "YBR077C" 0.584 30.2121332276
"385" "YOR048C" 0.585 23.3253692441
"386" "YPR143W" 0.585 25.7170769832
"387" "YER155C" 0.585 25.9683446911
"388" "YBL023C" 0.585 27.2132796781
"389" "YBR257W" 0.585 32.861440453
"390" "YKL066W" 0.586 28.1462174189
"391" "YBR279W" 0.587 25.0722938648
"392" "YKL105C" 0.587 25.2992615624
"393" "YMR207C" 0.589 23.8589824784
"394" "YOR174W" 0.589 27.0723809524
"395" "YGR076C" 0.589 29.0715518895
"396" "YLR308W" 0.589 29.7626620993
"397" "YHR125W" 0.589 29.9009562842
"398" "YCL044C" 0.59 26.8054717361
"399" "YGR126W" 0.59 29.6618271955
"400" "YLR437C-R" 0.59 30.1971688574
"401" "YKL033W" 0.59 30.3563289828
"402" "YBR063C" 0.591 29.6981276271
"403" "YJL095W" 0.592 24.7260273973
"404" "YNL308C" 0.592 25.1093210587
"405" "YJL039C" 0.593 26.3098261379
"406" "YLR383W" 0.594 22.9907343857
"407" "YER032W" 0.594 25.6259492298
"408" "YDR238C" 0.594 25.6675062972
"409" "YBR142W" 0.594 26.3532763533
"410" "YOL119C" 0.594 26.4796819788
"411" "YKL215C" 0.594 27.5283356532
