"Transcript.ID" "Gene.name" "Poly.A..tags" "Mean.TL" "Median.TL" "X10th..ile..TL" "X25th..ile..TL" "X75th..ile..TL" "X90th..ile..TL" "mRNA.RPKM" "RPF.RPKM" "log2.TE."
"212" "YGL084C" "YGL084C" 226 27.4 23.2 8.9 13.9 36.8 49.4 73.72 54.54 -0.434741370715
"213" "YNR052C" "YNR052C" 155 26.8 23 7.8 14.5 38 49.6 55.07 56.41 0.034684328454
"214" "YGR019W" "YGR019W" 184 28.2 25.4 9.5 15.4 40.1 50.8 66.77 77.02 0.206033082904
"215" "YGL244W" "YGL244W" 206 31.3 28.2 11.6 18.1 44 54.3 60.9 118.06 0.955006113654
"216" "YHR032W" "YHR032W" 0 NA NA NA NA NA NA 61.06 41.42 -0.559900035986
"217" "YEL032W" "YEL032W" 29 25.9 23.1 3.7 13.3 39.7 48.2 71.7 39.99 -0.842333837779
"218" "YOL076W" "YOL076W" 87 40.5 39.9 14.5 24.9 56.9 69.3 72.64 49.18 -0.562692467695
"219" "YER145C" "YER145C" 661 30 26.9 7.8 14.6 42.5 56.6 278.55 269.98 -0.0450837789759
"220" "YER110C" "YER110C" 254 27.1 25 7.2 13.6 37.6 51.1 458.54 457.09 -0.00456933380951
"221" "YOR236W" "YOR236W" 181 32.8 30.7 11.7 19 46 57.1 57.67 49.03 -0.234156260771
"222" "YBL033C" "YBL033C" 77 27.6 25.9 7.2 15.4 37.9 53 42.59 55.12 0.372061158154
"223" "YDR022C" "YDR022C" 0 NA NA NA NA NA NA 21.58 13.56 -0.670337686352
"224" "YPL266W" "YPL266W" 206 21.5 18.6 7.2 11.2 29.5 39.2 118.66 118.72 0.000729309160812
"225" "YML009C" "YML009C" 99 25.8 21.7 6.9 12.1 34 52.1 166.53 250.51 0.589086095954
"226" "YMR026C" "YMR026C" 73 28.4 25.9 10.7 14.7 42.8 50.7 31.16 12.05 -1.37066208694
"227" "YOR304W" "YOR304W" 0 NA NA NA NA NA NA 50.68 25.88 -0.969578907148
"228" "YLR023C" "YLR023C" 138 25.8 18.8 5.1 10.8 35.1 60 49.33 19.28 -1.35536023576
"229" "YML110C" "YML110C" 477 22.2 19.3 6.7 11.8 29.9 42.8 179.2 137.57 -0.381404742719
